"label","profile","frame","total.time","total.pct","self.time","self.pct"
"post_change","by_total","""withCallingHandlers""",9.85,100,0.07,0.71
"post_change","by_total","""suppressWarnings""",9.85,100,0.03,0.3
"post_change","by_total","""ledgr_sweep""",9.85,100,0,0
"post_change","by_total","""main""",9.85,100,0,0
"post_change","by_total","""profile_reference_workload""",9.85,100,0,0
"post_change","by_total","""doTryCatch""",9.67,98.17,0.15,1.52
"post_change","by_total","""tryCatch""",9.67,98.17,0.14,1.42
"post_change","by_total","""tryCatchOne""",9.67,98.17,0.1,1.02
"post_change","by_total","""tryCatchList""",9.67,98.17,0.07,0.71
"post_change","by_total","""ledgr_sweep_run_candidate""",9.36,95.03,0,0
"post_change","by_total","""ledgr_execute_fold""",8.33,84.57,0,0
"post_change","by_total","""fn""",7.06,71.68,0.91,9.24
"post_change","by_total","""output_handler$run_transaction""",7.06,71.68,0,0
"post_change","by_total","""ledgr_update_fast_pulse_context_helpers""",1.42,14.42,0.55,5.58
"post_change","by_total","""output_handler$write_fill_events""",1.34,13.6,0.01,0.1
"post_change","by_total","""[""",1.29,13.1,0.04,0.41
"post_change","by_total","""[.data.frame""",1.23,12.49,0.29,2.94
"post_change","by_total","""FUN""",1.19,12.08,0.13,1.32
"post_change","by_total","""ledgr_projection_pulse_views""",1.11,11.27,0,0
"post_change","by_total","""ledgr_split_pulse_data_frame""",1.1,11.17,0.07,0.71
"post_change","by_self","""fn""",7.06,71.68,0.91,9.24
"post_change","by_self","""ledgr_update_fast_pulse_context_helpers""",1.42,14.42,0.55,5.58
"post_change","by_self","""grepl""",0.35,3.55,0.34,3.45
"post_change","by_self","""%in%""",0.55,5.58,0.3,3.05
"post_change","by_self","""[.data.frame""",1.23,12.49,0.29,2.94
"post_change","by_self","""$""",0.26,2.64,0.26,2.64
"post_change","by_self","""unique""",0.36,3.65,0.23,2.34
"post_change","by_self","""format.POSIXlt""",0.27,2.74,0.23,2.34
"post_change","by_self","""vapply""",0.44,4.47,0.22,2.23
"post_change","by_self","""append_event_row_list""",0.24,2.44,0.2,2.03
"post_change","by_self","""anyDuplicated""",0.22,2.23,0.19,1.93
"post_change","by_self","""structure""",0.53,5.38,0.17,1.73
"post_change","by_self","""length""",0.17,1.73,0.17,1.73
"post_change","by_self","""doTryCatch""",9.67,98.17,0.15,1.52
"post_change","by_self","""[[""",0.72,7.31,0.15,1.52
"post_change","by_self","""[[.data.frame""",0.5,5.08,0.15,1.52
"post_change","by_self","""tryCatch""",9.67,98.17,0.14,1.42
"post_change","by_self","""FUN""",1.19,12.08,0.13,1.32
"post_change","by_self","""sys.call""",0.13,1.32,0.13,1.32
"post_change","by_self","""names""",0.12,1.22,0.12,1.22
