"engine","status","n_instruments","n_days","n_bars","full_row_sec","reported_core_sec","snapshot_prepare_sec","experiment_setup_sec","ingestion_sec","engine_sec","results_sec","cold_end_to_end","warm_research_iteration","phase_total_sec","phase_availability","harness_overhead_sec","core_bars_per_sec","full_row_bars_per_sec","boundary","cost_model","risk_chain","compiled_accounting_model","reason","equity_sha256","fills_sha256","trades_sha256","record_role"
"ledgr_ttr_canonical_sweep","DONE",500,1260,630000,64.94,64.87,20.03,15.8,35.83,29.01,0.0300000000000296,64.87,44.84,64.87,"complete",0.069999999999979,9711.73115461693,9701.2627040345,"public one-candidate ledgr_sweep: snapshot preparation=bars CSV read plus DuckDB snapshot; experiment setup=ledgr_experiment, grid, and sweep orchestration outside candidate engine/results clocks; engine=public sweep candidate fold; results=public retained returns/trades; full parity surfaces come from an untimed internal oracle","cost_zero","risk_none",,,"c4450ecbd73643008565200f6eff1a22a6930546f9f52015e46f55607bba51a4","b410c8e310cdba2e53668e4423d8bd4f5658146bae128fa8fdf3180c033554a6","51d683d34d068884f40b3204f97e6e418acbf46fb4131f47501279069fd63ea2","diagnostic_current_arm_prefix"
"ledgr_ttr_compiled_spot_fifo_sweep","DONE",500,1260,630000,49.75,49.71,19.33,15.52,34.85,14.78,0.0799999999999841,49.71,30.38,49.71,"complete",0.0400000000000205,12673.5063367532,12663.3165829146,"public one-candidate ledgr_sweep with compiled_accounting_model=spot_fifo: same snapshot/strategy surface as ledgr_ttr_canonical_sweep; engine uses compiled spot-FIFO fill/accounting batch; results=public retained returns/trades; full parity surfaces come from an untimed internal oracle","cost_zero","risk_none","spot_fifo",,"49c34798024590e2ff082bb42fc1ee6b04c424909867d2c3fa3e7f1b59c19172","b410c8e310cdba2e53668e4423d8bd4f5658146bae128fa8fdf3180c033554a6","88319282a697c5709aec8ded84bc13c8856fff1c39971c40262664194f83f1b5","diagnostic_current_arm_prefix"
