"label","scenario","path","n_candidates","n_instruments","n_days","n_bars","feature_mode","metric_context","reps","median_sec","mean_sec","min_sec","max_sec"
"post_change","persistent_comparison","sweep_plain",5,4,252,1008,"single","default",3,1.86,2.15,1.82,2.77
"post_change","persistent_comparison","run_loop",5,4,252,1008,"single","default",3,7.81,8.50666666666667,7.79,9.92
