"scenario","variant","strategy_hash","body_identical_to_plain","reps","median_sec","mean_sec","min_sec","max_sec"
"reference_50_candidates","plain","b389ca81e8f7b3373298f2cc226ae5f72b69abe71b1903ce371f2fe3f782e87d",TRUE,1,34.09,34.09,34.09,34.09
"reference_50_candidates","cmpfun","b389ca81e8f7b3373298f2cc226ae5f72b69abe71b1903ce371f2fe3f782e87d",TRUE,1,35.68,35.68,35.68,35.68
